Source Abbreviation	Term Type	Suppressible
ICPC2P	MTH_PT	Yes
AOT	PT	No
AOT	ET	No
GO	PT	No
GO	MTH_PT	No
GO	ET	No
GO	MTH_ET	No
GO	SY	No
GO	MTH_SY	No
PDQ	ET	No
PDQ	CU	No
PDQ	LV	No
PDQ	ACR	No
PDQ	AB	No
PDQ	BN	No
PDQ	FBD	No
PDQ	CCN	No
PDQ	CHN	No
NCBI	USN	No
NCBI	USY	No
NCBI	SY	No
NCBI	UCN	No
NCBI	CMN	No
NCBI	UE	No
NCBI	EQ	No
NCBI	AUN	Yes
NCBI	UAUN	Yes
LNC_SPECIAL_USE	LN	No
LNC	LN	No
LNC	MTH_LN	No
LNC_SPECIAL_USE	OSN	No
LNC	OSN	No
LNC	DN	No
LNC	CN	No
LNC	MTH_CN	No
LNC	LPN	No
LNC	LPDN	No
LNC	HC	No
LNC	HS	No
LNC	OLC	Yes
LNC_SPECIAL_USE	LC	No
LNC	LC	No
LNC	XM	No
LNC	LS	No
LNC	LG	No
LNC	LA	No
ICD10CM	PT	No
ICD9CM	PT	No
ICD10CM	HT	No
ICD9CM	HT	No
CCS_10	HT	No
CCS_10	MV	No
CCSR_10	SD	No
CCS_10	SP	No
CCSR_10	XM	No
CCS_10	XM	No
CCS	HT	No
CCS	MD	No
CCS	SD	No
CCS	MV	No
CCS	SP	No
CCS	XM	No
ICPC2ICD10ENG	XM	No
ICD10AE	HT	No
ICD10PCS	PT	No
ICD10PCS	PX	No
ICD10PCS	HX	No
ICD10PCS	MTH_HX	No
ICD10PCS	HT	No
ICD10PCS	HS	Yes
ICD10PCS	AB	Yes
ICD10	HT	No
ICD10AE	HX	No
ICD10	HX	No
ICD10AE	HS	Yes
ICD10	HS	Yes
ICD10AMAE	HT	No
ICD10AM	HT	No
UMD	HT	No
ICPC	HT	No
NUCCPT	PT	No
NUCCPT	MP	No
HL7V3.0	CSY	No
HL7V3.0	PT	No
HL7V2.5	PT	No
HL7V3.0	CDO	No
HL7V3.0	VS	No
HL7V3.0	BR	No
HL7V3.0	CPR	No
HL7V3.0	CR	No
HL7V3.0	NPT	No
HL7V2.5	HTN	No
CPT	HT	No
CDT	HT	No
HCPCS	MTH_HT	No
CCC	PT	No
CCC	HT	No
NIC	IV	No
NIC	HC	No
NANDA-I	PT	No
NANDA-I	HT	No
NANDA-I	HC	No
NANDA-I	RT	No
OMS	MTH_SI	No
OMS	PR	No
OMS	TG	No
OMS	HT	No
OMS	PQ	No
OMS	IVC	No
OMS	SI	No
OMS	SCALE	No
NIC	AC	No
NOC	OC	No
NOC	ID	No
NIC	HT	No
NOC	HT	No
NOC	HC	No
CCC	MTH_HT	No
CCC	MP	No
ALT	PT	No
ALT	HT	No
MTH	CV	No
MTH	XM	No
MTH	PT	No
MTH	SY	No
MTH	RT	No
ICD10CM	ET	No
MTHICD9	ET	No
ICD10CM	AB	Yes
ICD9CM	AB	Yes
PSY	PT	No
PSY	HT	No
PSY	ET	No
MEDLINEPLUS	ET	No
MEDLINEPLUS	SY	No
MEDLINEPLUS	HT	No
LCH_NW	PT	No
LCH	PT	No
MSH	HT	No
MSH	HS	No
MSH	DEV	Yes
MSH	DSV	Yes
MSH	QAB	Yes
MSH	QEV	Yes
MSH	QSV	Yes
MSH	PM	No
LCH_NW	XM	No
CPT	AB	Yes
HCPT	AB	Yes
HCPCS	AB	Yes
WHO	PT	No
WHO	HT	No
WHO	IT	No
SNMI	PT	No
SNMI	PX	Yes
SNMI	HT	No
SNMI	HX	Yes
SNMI	RT	No
SNMI	SY	No
SNMI	SX	Yes
SNMI	AD	No
SNM	PT	No
SNM	RT	No
SNM	HT	No
SNM	SY	No
SNM	RS	No
RCD	PT	No
RCD	SY	No
RCD	AT	No
RCD	AS	Yes
RCD	AB	Yes
RCDSA	PT	No
RCDSY	PT	No
RCDAE	PT	No
RCDSA	SY	No
RCDSY	SY	No
RCDAE	SY	No
RCDAE	AT	No
RCDSA	AB	Yes
RCDSY	AB	Yes
RCDAE	AB	Yes
RCDAE	AA	Yes
RCD	AA	Yes
CSP	PT	No
CSP	SY	No
CSP	ET	No
CSP	AB	No
MTH	DT	No
HCPT	AM	Yes
HCPCS	AM	Yes
HCDT	AB	Yes
ALT	AB	Yes
CHV	SY	No
RXNORM	ET	No
SNOMEDCT_VET	OAP	Yes
SNOMEDCT_VET	OP	Yes
SNOMEDCT_US	OAP	Yes
SNOMEDCT_US	OP	Yes
SNOMEDCT_VET	OAF	Yes
SNOMEDCT_VET	OF	Yes
SNOMEDCT_US	OAF	Yes
SNOMEDCT_US	OF	Yes
SNOMEDCT_VET	OAS	Yes
SNOMEDCT_VET	IS	Yes
SNOMEDCT_US	OAS	Yes
SNOMEDCT_US	IS	Yes
SNOMEDCT_US	MTH_OAP	Yes
SNOMEDCT_US	MTH_OP	Yes
SNOMEDCT_US	MTH_OAF	Yes
SNOMEDCT_US	MTH_OF	Yes
SNOMEDCT_US	MTH_OAS	Yes
SNOMEDCT_US	MTH_IS	Yes
HPO	OP	Yes
HPO	IS	Yes
NCI	OP	Yes
NCI_NICHD	OP	Yes
LNC	LO	Yes
LNC	MTH_LO	Yes
LNC	OOSN	Yes
LNC	OLG	Yes
NEU	IS	Yes
MDR	OS	No
MDR	MTH_OS	No
CDT	OP	Yes
ICPC2P	OPN	Yes
ICPC2P	MTH_OPN	Yes
ICPC2P	OP	Yes
ICPC2P	MTH_OP	Yes
HCPCS	OP	Yes
HCDT	OP	Yes
HCPT	OP	Yes
HCPCS	OM	Yes
HCPCS	OAM	Yes
GO	OP	Yes
GO	MTH_OP	Yes
GO	OET	Yes
GO	MTH_OET	Yes
GO	IS	Yes
GO	MTH_IS	Yes
PDQ	OP	Yes
PDQ	IS	Yes
MDR	OL	Yes
MDR	MTH_OL	Yes
NUCCPT	OP	Yes
HL7V3.0	OP	Yes
HL7V3.0	ONP	Yes
WHO	OS	No
RCD	OP	Yes
RCD	IS	Yes
RCDSA	OP	Yes
RCDSY	OP	Yes
RCDAE	OP	Yes
RCDSA	IS	Yes
RCDSY	IS	Yes
RCDAE	IS	Yes
RCDSA	OA	Yes
RCDSY	OA	Yes
RCDAE	OA	Yes
RCD	OA	Yes
HCPT	OA	Yes
HCPCS	OA	Yes
HCDT	OA	Yes
NEU	OP	Yes
FMA	OP	Yes
FMA	IS	Yes
DSM-5	DC10	No
DSM-5	DC9	No
DXP	DI	No
DXP	FI	No
DXP	SY	No
RAM	PT	No
RAM	RT	No
ULT	PT	No
BI	PT	No
BI	AB	No
BI	SY	No
BI	RT	No
PCDS	GO	No
PCDS	OR	No
PCDS	PR	No
PCDS	CO	No
PCDS	HX	No
PCDS	HT	No
MTHMST	PT	No
MTHMST	SY	No
DDB	PT	No
DDB	SY	No
CST	PT	No
COSTAR	PT	No
CST	SC	No
CST	HT	No
CST	GT	No
CCPSS	TX	No
CCPSS	TC	Yes
CCPSS	PT	No
CCPSS	MP	No
AOD	DE	No
AOD	DS	No
AOD	XD	No
AOD	FN	No
AOD	ET	No
AOD	ES	No
AOD	EX	No
AOD	NP	No
AOD	NS	No
AOD	NX	No
QMR	PT	No
JABL	PC	No
JABL	PT	No
JABL	SS	No
JABL	SY	No
AIR	FI	No
AIR	DI	No
AIR	SY	No
AIR	HT	No
PPAC	DO	No
PPAC	CL	No
PPAC	AC	No
PPAC	ST	No
PPAC	TA	No
MCM	PT	No
MCM	RT	No
SCTSPA	PT	No
SCTSPA	FN	No
SCTSPA	SY	No
SCTSPA	MTH_PT	No
SCTSPA	MTH_FN	No
SCTSPA	MTH_SY	No
SCTSPA	SB	No
SCTSPA	OP	Yes
SCTSPA	OAF	Yes
SCTSPA	OAP	Yes
SCTSPA	OAS	Yes
SCTSPA	OF	Yes
SCTSPA	IS	Yes
SCTSPA	MTH_OP	Yes
SCTSPA	MTH_OAF	Yes
SCTSPA	MTH_OAP	Yes
SCTSPA	MTH_OAS	Yes
SCTSPA	MTH_OF	Yes
SCTSPA	MTH_IS	Yes
MSHPOR	MH	No
MSHPOR	PEP	No
MSHPOR	ET	No
MSHSPA	MH	No
MSHSPA	PEP	No
MSHSPA	ET	No
MSHCZE	MH	No
MSHCZE	PEP	No
MSHCZE	ET	No
MSHCZE	TQ	No
MSHCZE	XQ	No
MSHCZE	PXQ	No
MSHDUT	MH	No
MSHSWE	MH	No
MSHSWE	TQ	No
MSHNOR	MH	No
MSHGER	MH	No
MSHNOR	PEP	No
MSHGER	PEP	No
MSHNOR	DSV	Yes
MSHGER	DSV	Yes
MSHNOR	ET	No
MSHGER	ET	No
MSHFIN	MH	No
MSHLAV	MH	No
MSHSCR	MH	No
MSHFRE	MH	No
MSHLAV	PEP	No
MSHSCR	PEP	No
MSHFRE	PEP	No
MSHLAV	EP	No
MSHSCR	ET	No
MSHFRE	ET	No
MSHITA	MH	No
MSHITA	PEP	No
MSHITA	ET	No
MSHJPN	PT	No
MSHPOL	MH	No
MSHRUS	MH	No
MSHJPN	SY	No
KCD5	HT	No
TKMT	PT	No
KCD5	PT	No
MSHPOL	SY	No
MSHRUS	SY	No
MSHDUT	SY	No
MDRSPA	PT	No
MDRSPA	HG	No
MDRSPA	HT	No
MDRSPA	LLT	No
MDRSPA	OS	No
MDRSPA	SMQ	No
MDRSPA	OL	Yes
MDRSPA	AB	Yes
MDRDUT	PT	No
MDRDUT	HG	No
MDRDUT	HT	No
MDRDUT	LLT	No
MDRDUT	OS	No
MDRDUT	SMQ	No
MDRDUT	OL	Yes
MDRDUT	AB	Yes
MDRFRE	PT	No
MDRFRE	HG	No
MDRFRE	HT	No
MDRFRE	LLT	No
MDRFRE	SMQ	No
MDRFRE	OS	No
MDRFRE	OL	Yes
MDRFRE	AB	Yes
MDRGER	PT	No
MDRGER	HG	No
MDRGER	HT	No
MDRGER	LLT	No
MDRGER	SMQ	No
MDRGER	OS	No
MDRGER	OL	Yes
MDRGER	AB	Yes
MDRITA	PT	No
MDRITA	HG	No
MDRITA	HT	No
MDRITA	LLT	No
MDRITA	SMQ	No
MDRITA	OS	No
MDRITA	OL	Yes
MDRITA	AB	Yes
MDRJPN	PT	No
MDRJPN	PTJKN	No
MDRJPN	PTJKN1	No
MDRJPN	HG	No
MDRJPN	HGJKN	No
MDRJPN	HGJKN1	No
MDRJPN	HT	No
MDRJPN	HTJKN	No
MDRJPN	HTJKN1	No
MDRJPN	LLT	No
MDRJPN	LLTJKN	No
MDRJPN	LLTJKN1	No
MDRJPN	OS	No
MDRJPN	SMQ	No
MDRJPN	OL	Yes
MDRJPN	OLJKN	Yes
MDRJPN	OLJKN1	Yes
MDRCZE	PT	No
MDRKOR	PT	No
MDRHUN	PT	No
MDRBPO	PT	No
MDRPOR	PT	No
MDRRUS	PT	No
MDRCZE	HG	No
MDRKOR	HG	No
MDRHUN	HG	No
MDRBPO	HG	No
MDRPOR	HG	No
MDRRUS	HG	No
MDRCZE	HT	No
MDRKOR	HT	No
MDRHUN	HT	No
MDRBPO	HT	No
MDRPOR	HT	No
MDRRUS	HT	No
MDRCZE	LLT	No
MDRKOR	LLT	No
MDRHUN	LLT	No
MDRBPO	LLT	No
MDRPOR	LLT	No
MDRRUS	LLT	No
MDRCZE	OS	No
MDRKOR	OS	No
MDRHUN	OS	No
MDRBPO	OS	No
MDRPOR	OS	No
MDRRUS	OS	No
MDRCZE	SMQ	No
MDRKOR	SMQ	No
MDRHUN	SMQ	No
MDRRUS	SMQ	No
MDRBPO	SMQ	No
MDRPOR	SMQ	No
MDRCZE	OL	Yes
MDRKOR	OL	Yes
MDRHUN	OL	Yes
MDRRUS	OL	Yes
MDRBPO	OL	Yes
MDRPOR	OL	Yes
MDRCZE	AB	Yes
MDRKOR	AB	Yes
MDRHUN	AB	Yes
MDRRUS	AB	Yes
MDRBPO	AB	Yes
MDRPOR	AB	Yes
MDRJPN	OSJKN	No
MDRJPN	OSJKN1	No
WHOFRE	HT	No
WHOGER	HT	No
WHOPOR	HT	No
WHOSPA	HT	No
LNC-DE-DE	LN	No
LNC-DE-DE	LC	No
LNC-DE-DE	LO	Yes
LNC-EL-GR	LN	No
LNC-EL-GR	LO	Yes
LNC-ES-AR	LN	No
LNC-ES-AR	OSN	No
LNC-ES-AR	LO	Yes
LNC-ES-AR	OOSN	Yes
LNC-ES-ES	LN	No
LNC-ES-ES	LO	Yes
LNC-ET-EE	LN	No
LNC-ET-EE	LO	Yes
LNC-FR-BE	LN	No
LNC-FR-BE	LO	Yes
LNC-FR-CA	LN	No
LNC-FR-CA	LO	Yes
LNC-FR-FR	LN	No
LNC-FR-FR	LC	No
LNC-FR-FR	OLC	Yes
LNC-FR-FR	LO	Yes
LNC-IT-IT	LN	No
LNC-IT-IT	LO	Yes
LNC-KO-KR	LN	No
LNC-KO-KR	LO	Yes
LNC-NL-NL	LN	No
LNC-NL-NL	LO	Yes
LNC-PT-BR	LN	No
LNC-PT-BR	OSN	No
LNC-PT-BR	LO	Yes
LNC-PT-BR	OOSN	Yes
LNC-RU-RU	LN	No
LNC-RU-RU	LO	Yes
LNC-TR-TR	LN	No
LNC-TR-TR	LO	Yes
LNC-ZH-CN	LN	No
LNC-ZH-CN	LO	Yes
LNC-DE-AT	LN	No
LNC-DE-AT	LO	Yes
LNC-DE-AT	LVDN	No
WHOFRE	PT	No
WHOGER	PT	No
WHOPOR	PT	No
WHOSPA	PT	No
WHOFRE	IT	No
WHOGER	IT	No
WHOPOR	IT	No
WHOSPA	IT	No
WHOFRE	OS	No
WHOGER	OS	No
WHOPOR	OS	No
WHOSPA	OS	No
CPTSP	PT	No
DMDUMD	PT	No
DMDUMD	ET	No
DMDUMD	RT	No
DMDICD10	PT	No
DMDICD10	HT	No
ICPCBAQ	PT	No
ICPCDAN	PT	No
ICPC2EDUT	PT	No
ICD10DUT	PT	No
ICD10DUT	HT	No
ICPC2ICD10DUT	PT	No
ICPCDUT	PT	No
ICPCFIN	PT	No
ICPCFRE	PT	No
ICPCGER	PT	No
ICPCHEB	PT	No
ICPCHUN	PT	No
ICPCITA	PT	No
ICPCNOR	PT	No
ICPCPOR	PT	No
ICPCSPA	PT	No
ICPCSWE	PT	No
ICPCBAQ	CP	No
ICPCDAN	CP	No
ICPCDUT	CP	No
ICPCFIN	CP	No
ICPCFRE	CP	No
ICPCGER	CP	No
ICPCHEB	CP	No
ICPCHUN	CP	No
ICPCITA	CP	No
ICPCNOR	CP	No
ICPCPOR	CP	No
ICPCSPA	CP	No
ICPCSWE	CP	No
MTHMSTFRE	PT	No
MTHMSTITA	PT	No
SRC	RPT	No
SRC	RHT	No
SRC	RAB	No
SRC	RSY	No
SRC	VPT	No
SRC	VAB	No
SRC	VSY	No
SRC	SSN	No
