role_curie,role_label,chemical_count
CHEBI:50908,hepatotoxic agent,53
CHEBI:61115,EC 3.5.1.98 (histone deacetylase) inhibitor,53
CHEBI:38161,chelator,52
CHEBI:140602,Arabidopsis thaliana metabolite,51
CHEBI:24127,fungicide,51
CHEBI:68494,apoptosis inhibitor,51
CHEBI:38637,tyrosine kinase inhibitor,50
CHEBI:48407,antiparkinson drug,50
CHEBI:73240,NF-kappaB inhibitor,50
CHEBI:36333,local anaesthetic,49
CHEBI:77884,EC 1.14.13.70 (sterol 14alpha-demethylase) inhibitor,49
CHEBI:35544,EC 1.14.99.1 (prostaglandin-endoperoxide synthase) inhibitor,48
CHEBI:83075,Daphnia pulex metabolite,48
CHEBI:33231,antitubercular agent,47
CHEBI:35530,beta-adrenergic antagonist,47
CHEBI:48218,antiseptic drug,47
CHEBI:50630,cyclooxygenase 1 inhibitor,47
CHEBI:50846,immunomodulator,47
CHEBI:50905,teratogenic agent,47
CHEBI:60643,NMDA receptor antagonist,47
CHEBI:27026,toxin,46
CHEBI:138880,autophagy inducer,45
CHEBI:37890,alpha-adrenergic antagonist,45
CHEBI:49167,anti-asthmatic drug,45
CHEBI:50514,vasoconstrictor agent,45
CHEBI:53756,HIV-1 reverse transcriptase inhibitor,45
CHEBI:26130,biological pigment,44
CHEBI:26672,siderophore,44
CHEBI:36335,trypanocidal drug,44
CHEBI:50949,serotonin uptake inhibitor,44
CHEBI:67239,EC 3.2.1.20 (alpha-glucosidase) inhibitor,44
CHEBI:83074,kairomone,44
CHEBI:35522,beta-adrenergic agonist,43
CHEBI:35524,sympathomimetic agent,43
CHEBI:64915,antiplasmodial drug,43
CHEBI:70868,antileishmanial agent,43
CHEBI:79091,EC 2.7.11.24 (mitogen-activated protein kinase) inhibitor,43
CHEBI:25491,nematicide,42
CHEBI:49201,anti-ulcer drug,42
CHEBI:59517,DNA synthesis inhibitor,42
CHEBI:27027,micronutrient,41
CHEBI:50750,EC 5.99.1.3 [DNA topoisomerase (ATP-hydrolysing)] inhibitor,41
CHEBI:82665,EC 2.7.11.22 (cyclin-dependent kinase) inhibitor,41
CHEBI:35457,EC 3.4.15.1 (peptidyl-dipeptidase A) inhibitor,40
CHEBI:53784,antispasmodic drug,40
CHEBI:64947,anti-HIV-1 agent,40
CHEBI:35441,antiinfective agent,39
CHEBI:33287,fertilizer,38
CHEBI:76617,EC 2.7.10.2 (non-specific protein-tyrosine kinase) inhibitor,38
CHEBI:140165,Brassica napus metabolite,37
CHEBI:33295,diagnostic agent,37
CHEBI:35820,antiprotozoal drug,37
CHEBI:38231,phytotoxin,37
CHEBI:39116,pyrethroid ester insecticide,37
CHEBI:51065,dopamine agonist,37
CHEBI:50114,estrogen,36
CHEBI:50183,P450 inhibitor,36
CHEBI:51177,antitussive,36
CHEBI:173084,ferroptosis inhibitor,35
CHEBI:22583,antifeedant,35
CHEBI:35222,inhibitor,35
CHEBI:35679,antilipemic drug,35
CHEBI:50902,genotoxin,35
CHEBI:26841,synthetic auxin,34
CHEBI:173085,ferroptosis inducer,33
CHEBI:47868,photosensitizing agent,33
CHEBI:33893,reagent,32
CHEBI:35195,surfactant,32
CHEBI:39442,fluorescent probe,32
CHEBI:73192,EC 1.3.3.4 (protoporphyrinogen oxidase) inhibitor,32
CHEBI:86327,antifungal drug,32
CHEBI:136646,proherbicide,31
CHEBI:22180,EC 2.2.1.6 (acetolactate synthase) inhibitor,31
CHEBI:50276,EC 5.99.1.2 (DNA topoisomerase) inhibitor,31
CHEBI:50509,potassium channel blocker,31
CHEBI:50914,EC 2.7.1.137 (phosphatidylinositol 3-kinase) inhibitor,31
CHEBI:51039,dopamine uptake inhibitor,31
CHEBI:60575,phenoxy herbicide,31
CHEBI:63248,oxidising agent,31
CHEBI:74518,anti-obesity agent,31
CHEBI:77182,food colouring,31
CHEBI:23354,coenzyme,30
CHEBI:35498,diuretic,30
CHEBI:35640,adrenergic uptake inhibitor,30
CHEBI:59683,antipruritic drug,30
CHEBI:59997,EC 1.14.18.1 (tyrosinase) inhibitor,30
CHEBI:76779,EC 3.4.21.26 (prolyl oligopeptidase) inhibitor,30
CHEBI:143231,carbohydrate allergen,29
CHEBI:35569,alpha-adrenergic agonist,29
CHEBI:38147,cardiotonic drug,29
CHEBI:38623,EC 1.4.3.4 (monoamine oxidase) inhibitor,29
CHEBI:39456,antiglaucoma drug,29
CHEBI:70722,EC 6.4.1.2 (acetyl-CoA carboxylase) inhibitor,29
CHEBI:35842,antirheumatic drug,28
CHEBI:48219,disinfectant,28
CHEBI:52726,proteasome inhibitor,28
CHEBI:64912,antimycobacterial drug,28
CHEBI:64933,melanin synthesis inhibitor,28
CHEBI:77523,Maillard reaction product,28
CHEBI:77853,persistent organic pollutant,28
CHEBI:197449,NMR solvent,27
CHEBI:35337,central nervous system stimulant,27
CHEBI:35660,HIV protease inhibitor,27
CHEBI:48873,cholinergic antagonist,27
CHEBI:50177,dermatologic drug,27
CHEBI:63490,explosive,27
CHEBI:63962,Hsp90 inhibitor,27
CHEBI:67268,HIV-1 integrase inhibitor,27
CHEBI:132992,radiosensitizing agent,26
CHEBI:139566,Jacobaea metabolite,26
CHEBI:24850,insect attractant,26
CHEBI:35443,anthelminthic drug,26
CHEBI:35444,antinematodal drug,26
CHEBI:37956,histamine antagonist,26
CHEBI:48878,nicotinic antagonist,26
CHEBI:55324,gastrointestinal drug,26
CHEBI:61951,microtubule-destabilising agent,26
CHEBI:64909,poison,26
CHEBI:78433,refrigerant,26
CHEBI:138208,carotenoid biosynthesis inhibitor,25
CHEBI:147285,EC 3.4.22.69 (SARS coronavirus main proteinase) inhibitor,25
CHEBI:35856,lipoxygenase inhibitor,25
CHEBI:37338,radioopaque medium,25
CHEBI:38157,iron chelator,25
CHEBI:50505,sweetening agent,25
CHEBI:65207,vascular endothelial growth factor receptor antagonist,25
CHEBI:83072,EC 1.3.5.1 [succinate dehydrogenase (quinone)] inhibitor,25
CHEBI:25512,neurotransmitter,24
CHEBI:35476,antipsychotic agent,24
CHEBI:35497,androgen antagonist,24
CHEBI:38461,carbamate insecticide,24
CHEBI:38499,mitochondrial cytochrome-bc1 complex inhibitor,24
CHEBI:49110,peripheral nervous system drug,24
CHEBI:52425,EC 3.2.1.18 (exo-alpha-sialidase) inhibitor,24
CHEBI:65191,second generation antipsychotic,24
CHEBI:35219,plant growth retardant,23
CHEBI:35225,buffer,23
CHEBI:37887,adrenergic antagonist,23
CHEBI:38633,sodium channel blocker,23
CHEBI:50909,nephrotoxic agent,23
CHEBI:63247,reducing agent,23
CHEBI:64911,antimitotic,23
CHEBI:35223,catalyst,22
CHEBI:35821,anticholesteremic drug,22
CHEBI:37670,protease inhibitor,22
CHEBI:37700,EC 2.7.11.13 (protein kinase C) inhibitor,22
CHEBI:46787,solvent,22
CHEBI:47958,nicotinic acetylcholine receptor agonist,22
CHEBI:48355,non-polar solvent,22
CHEBI:48550,EC 1.1.1.21 (aldehyde reductase) inhibitor,22
CHEBI:50370,parasympatholytic,22
CHEBI:50926,angiogenesis modulating agent,22
CHEBI:59826,progestin,22
CHEBI:62488,signalling molecule,22
CHEBI:76968,fungal xenobiotic metabolite,22
CHEBI:24853,intercalator,21
CHEBI:26115,phytoalexin,21
CHEBI:38828,nonionic surfactant,21
CHEBI:48358,polar aprotic solvent,21
CHEBI:48887,bile acid metabolite,21
CHEBI:60218,mimotope,21
CHEBI:74440,epidermal growth factor receptor antagonist,21
CHEBI:74783,astringent,21
CHEBI:76595,nephroprotective agent,21
CHEBI:76989,phytoestrogen,21
CHEBI:140399,specialised pro-resolving mediator,20
CHEBI:26155,plant growth regulator,20
CHEBI:35608,EC 3.1.3.48 (protein-tyrosine-phosphatase) inhibitor,20
CHEBI:37930,phenothiazine antipsychotic drug,20
CHEBI:64049,food acidity regulator,20
CHEBI:66980,nootropic agent,20
CHEBI:91092,EC 2.7.11.26 (tau-protein kinase) inhibitor,20
CHEBI:35488,central nervous system depressant,19
CHEBI:48356,protic solvent,19
CHEBI:50267,protective agent,19
CHEBI:50503,laxative,19
CHEBI:64133,EC 2.5.1.58 (protein farnesyltransferase) inhibitor,19
CHEBI:64964,EC 1.13.11.34 (arachidonate 5-lipoxygenase) inhibitor,19
CHEBI:139492,sensitiser,18
CHEBI:37699,protein kinase inhibitor,18
CHEBI:38317,EC 1.13.11.27 (4-hydroxyphenylpyruvate dioxygenase) inhibitor,18
CHEBI:66987,radiation protective agent,18
CHEBI:68481,mTOR inhibitor,18
CHEBI:24621,hormone,17
CHEBI:27780,detergent,17
CHEBI:35499,hallucinogen,17
CHEBI:50683,EC 1.5.1.3 (dihydrofolate reductase) inhibitor,17
CHEBI:50751,anti-estrogen,17
CHEBI:53559,topoisomerase IV inhibitor,17
CHEBI:63510,EC 3.6.3.9 (Na(+)/K(+)-transporting ATPase) inhibitor,17
CHEBI:64951,anti-HBV agent,17
CHEBI:64953,anti-HSV-1 agent,17
CHEBI:65190,first generation antipsychotic,17
CHEBI:71031,orphan drug,17
CHEBI:71692,insect repellent,17
CHEBI:78031,Wnt signalling inhibitor,17
CHEBI:33289,avicide,16
CHEBI:35554,cardiovascular drug,16
CHEBI:38877,intravenous anaesthetic,16
CHEBI:50218,EC 3.1.4.* (phosphoric diester hydrolase) inhibitor,16
CHEBI:50566,nitric oxide donor,16
CHEBI:50748,antipsoriatic,16
CHEBI:51121,fluorescent dye,16
CHEBI:62913,EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor,16
CHEBI:63175,peptidomimetic,16
CHEBI:73336,vulnerary,16
CHEBI:83317,sterol biosynthesis inhibitor,16
CHEBI:24869,ionophore,15
CHEBI:26348,prosthetic group,15
CHEBI:33288,rodenticide,15
CHEBI:35625,EC 3.5.2.6 (beta-lactamase) inhibitor,15
CHEBI:37153,EC 3.1.3.16 (phosphoprotein phosphatase) inhibitor,15
CHEBI:49326,synthetic oral contraceptive,15
CHEBI:50176,keratolytic drug,15
CHEBI:51087,protecting group,15
CHEBI:59282,kappa-opioid receptor agonist,15
CHEBI:59745,chromatographic reagent,15
CHEBI:61016,angiotensin receptor antagonist,15
CHEBI:64696,EC 2.3.1.26 (sterol O-acyltransferase) inhibitor,15
CHEBI:64924,hepatitis C protease inhibitor,15
CHEBI:78295,food component,15
CHEBI:88230,autophagy inhibitor,15
CHEBI:23530,cytokinin,14
CHEBI:37336,radioactive imaging agent,14
CHEBI:37416,EC 2.7.7.6 (RNA polymerase) inhibitor,14
CHEBI:48560,dopaminergic agent,14
CHEBI:50247,antidote,14
CHEBI:50469,EC 3.1.1.4 (phospholipase A2) inhibitor,14
CHEBI:50502,EC 2.5.1.15 (dihydropteroate synthase) inhibitor,14
CHEBI:50507,appetite depressant,14
CHEBI:50684,cross-linking reagent,14
CHEBI:50847,immunological adjuvant,14
CHEBI:63457,fibroblast growth factor receptor antagonist,14
CHEBI:65256,antimicrobial food preservative,14
CHEBI:66991,sympatholytic agent,14
CHEBI:70782,PPARalpha agonist,14
CHEBI:79056,plasticiser,14
CHEBI:79314,flame retardant,14
CHEBI:15022,electron donor,13
CHEBI:166831,copper chelator,13
CHEBI:23018,EC 4.2.1.1 (carbonic anhydrase) inhibitor,13
CHEBI:24937,jasmonates,13
CHEBI:35442,antiparasitic agent,13
CHEBI:35471,psychotropic drug,13
CHEBI:37335,MRI contrast agent,13
CHEBI:38325,muscarinic agonist,13
CHEBI:38999,GABA-gated chloride channel antagonist,13
CHEBI:50268,GABA modulator,13
CHEBI:59544,phosphoantigen,13
CHEBI:62215,allelochemical,13
CHEBI:63047,food emulsifier,13
CHEBI:64054,delta-opioid receptor agonist,13
CHEBI:64943,EC 3.4.21.1 (chymotrypsin) inhibitor,13
CHEBI:65259,GABA antagonist,13
CHEBI:70728,actin polymerisation inhibitor,13
CHEBI:71476,EC 2.3.1.85 (fatty acid synthase) inhibitor,13
CHEBI:76988,xenoestrogen,13
CHEBI:77962,food antioxidant,13
CHEBI:145947,antiatherosclerotic agent,12
CHEBI:36063,oxytocic,12
CHEBI:37848,plant hormone,12
CHEBI:38867,anaesthetic,12
CHEBI:39259,pyrethroid ester acaricide,12
CHEBI:50790,EC 1.14.14.14 (aromatase) inhibitor,12
CHEBI:50912,cardiotoxic agent,12
CHEBI:51076,antifouling biocide,12
CHEBI:55323,antidiarrhoeal drug,12
CHEBI:59897,EC 2.7.7.49 (RNA-directed DNA polymerase) inhibitor,12
CHEBI:63054,osteogenesis regulator,12
CHEBI:64926,serine protease inhibitor,12
CHEBI:65001,EC 3.1.1.3 (triacylglycerol lipase) inhibitor,12
CHEBI:65232,EC 3.4.21.5 (thrombin) inhibitor,12
CHEBI:75047,B-Raf inhibitor,12
CHEBI:136644,proinsecticide,11
CHEBI:22917,phytogenic insecticide,11
CHEBI:25355,mitochondrial respiratory-chain inhibitor,11
CHEBI:25540,neonicotinoid insectide,11
CHEBI:25605,nucleoside antibiotic,11
CHEBI:33904,molluscicide,11
CHEBI:38323,cholinergic drug,11
CHEBI:38498,mitochondrial NADH:ubiquinone reductase inhibitor,11
CHEBI:38870,inhalation anaesthetic,11
CHEBI:39011,Good's buffer substance,11
CHEBI:49159,leukotriene antagonist,11
CHEBI:49200,EC 3.6.3.10 (H(+)/K(+)-exchanging ATPase) inhibitor,11
CHEBI:50407,acid-base indicator,11
CHEBI:50792,estrogen receptor antagonist,11
CHEBI:52290,mitogen,11
CHEBI:60807,anaesthesia adjuvant,11
CHEBI:63951,estrogen receptor agonist,11
CHEBI:64152,cysteine protease inhibitor,11
CHEBI:64345,MALDI matrix material,11
CHEBI:64996,EC 1.13.11.33 (arachidonate 15-lipoxygenase) inhibitor,11
CHEBI:71554,PPARgamma agonist,11
CHEBI:72768,aryl hydrocarbon receptor agonist,11
CHEBI:76395,EC 2.3.1.48 (histone acetyltransferase) inhibitor,11
CHEBI:132272,herbicide safener,10
CHEBI:132717,bleaching agent,10
CHEBI:140160,Camellia sinensis metabolite,10
CHEBI:146270,oneirogen,10
CHEBI:171664,antiamoebic agent,10
CHEBI:233423,antifibrotic agent,10
CHEBI:25078,luciferin,10
CHEBI:25747,oxidized luciferins,10
CHEBI:25944,pesticide,10
CHEBI:33937,macronutrient,10
CHEBI:38849,blood substitute,10
CHEBI:38941,schistosomicide drug,10
CHEBI:50185,fatty acid synthesis inhibitor,10
CHEBI:50241,cholinesterase reactivator,10
CHEBI:61966,metabotropic glutamate receptor agonist,10
CHEBI:64018,protein kinase C agonist,10
CHEBI:64106,protein kinase agonist,10
CHEBI:64584,uremic toxin,10
CHEBI:64932,cathepsin B inhibitor,10
CHEBI:70770,Aurora kinase inhibitor,10
CHEBI:76797,EC 2.5.1.18 (glutathione transferase) inhibitor,10
CHEBI:77715,nasal decongestant,10
OBI:0002743,,10
CHEBI:131699,EC 2.7.7.7 (DNA-directed DNA polymerase) inhibitor,9
CHEBI:138015,endocrine disruptor,9
CHEBI:138103,inorganic acid,9
CHEBI:140921,Hedgehog signaling pathway inhibitor,9
CHEBI:144829,tumour antigen,9
CHEBI:148436,nitrification inhibitor,9
CHEBI:149552,emetic,9
CHEBI:23240,chromophore,9
CHEBI:35470,central nervous system drug,9
CHEBI:35634,EC 1.17.3.2 (xanthine oxidase) inhibitor,9
CHEBI:35664,EC 1.1.1.34/EC 1.1.1.88 (hydroxymethylglutaryl-CoA reductase) inhibitor,9
CHEBI:37961,H2-receptor antagonist,9
CHEBI:37962,adrenergic agent,9
CHEBI:50248,hematologic agent,9
CHEBI:50390,EC 1.6.5.2 [NAD(P)H dehydrogenase (quinone)] inhibitor,9
CHEBI:50412,two-colour indicator,9
CHEBI:50664,matrix metalloproteinase inhibitor,9
CHEBI:50739,estrogen receptor modulator,9
CHEBI:51373,GABA agonist,9
CHEBI:60809,adjuvant,9
CHEBI:63533,gonadotropin releasing hormone agonist,9
CHEBI:65023,anti-asthmatic agent,9
CHEBI:67114,ryanodine receptor agonist,9
CHEBI:70821,cathepsin L (EC 3.4.22.15) inhibitor,9
CHEBI:72316,virulence factor,9
CHEBI:73190,antimutagen,9
CHEBI:73273,sodium-glucose transport protein subtype 2 inhibitor,9
CHEBI:74925,EC 3.4.23.46 (memapsin 2) inhibitor,9
CHEBI:76022,soluble guanylate cyclase activator,9
CHEBI:77034,mucolytic,9
CHEBI:77194,EC 2.7.1.33 (pantothenate kinase) inhibitor,9
CHEBI:83038,Daphnia galeata metabolite,9
CHEBI:88048,cyanotoxin,9
CHEBI:138977,quorum sensing inhibitor,8
CHEBI:139361,TRP channel blocker,8
CHEBI:145047,antispermatogenic agent,8
CHEBI:145425,EC 2.7.11.21 (polo kinase) inhibitor,8
CHEBI:156203,topoisomerase II inhibitor,8
CHEBI:194338,T-type calcium channel blocker,8
CHEBI:194423,aquaretic,8
CHEBI:26645,semiochemical,8
CHEBI:35678,histamine agonist,8
CHEBI:35816,leprostatic drug,8
CHEBI:35818,coccidiostat,8
CHEBI:38503,EC 1.6.5.3 [NADH:ubiquinone reductase (H(+)-translocating)] inhibitor,8
CHEBI:38634,voltage-gated sodium channel blocker,8
CHEBI:39276,fumigant,8
CHEBI:50137,mu-opioid receptor antagonist,8
CHEBI:50513,mydriatic agent,8
CHEBI:50627,EC 3.2.1.1 (alpha-amylase) inhibitor,8
CHEBI:50671,antithyroid drug,8
CHEBI:50691,abortifacient,8
CHEBI:55350,neurokinin-1 receptor antagonist,8
CHEBI:60186,EC 3.6.3.8 (Ca(2+)-transporting ATPase) inhibitor,8
CHEBI:61950,microtubule-stabilising agent,8
CHEBI:62803,fuel additive,8
CHEBI:63562,glucocorticoid receptor agonist,8
CHEBI:63673,chemokine receptor 5 antagonist,8
CHEBI:64577,flour treatment agent,8
CHEBI:64857,cosmetic,8
CHEBI:65239,"EC 3.2.1.114 (mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase) inhibitor",8
CHEBI:66900,prostaglandin receptor agonist,8
CHEBI:66981,ophthalmology drug,8
CHEBI:67267,EC 2.5.1.59 (protein geranylgeranyltransferase type I) inhibitor,8
CHEBI:68563,P2Y12 receptor antagonist,8
CHEBI:68581,EC 3.4.21.6 (coagulation factor Xa) inhibitor,8
CHEBI:68612,EC 3.4.14.5 (dipeptidyl-peptidase IV) inhibitor,8
CHEBI:70774,capsaicin receptor antagonist,8
CHEBI:72571,pro-angiogenic agent,8
CHEBI:72575,alarm pheromone,8
CHEBI:73296,cholecystokinin antagonist,8
CHEBI:75325,cathartic,8
CHEBI:75763,eukaryotic metabolite,8
CHEBI:75835,anti-anaemic agent,8
CHEBI:76413,greenhouse gas,8
CHEBI:77974,food packaging gas,8
CHEBI:78361,lichen metabolite,8
CHEBI:78444,EC 3.1.1.1 (carboxylesterase) inhibitor,8
CHEBI:82655,animal growth promotant,8
CHEBI:86385,EC 5.3.3.5 (cholestenol Delta-isomerase) inhibitor,8
CHEBI:90199,c-Met tyrosine kinase inhibitor,8
CHEBI:91016,GABAA receptor agonist,8
CHEBI:137114,bromodomain-containing protein 4 inhibitor,7
CHEBI:144981,EC 3.6.5.2 (small monomeric GTPase) inhibitor,7
CHEBI:170010,EC 2.7.7.48 (RNA-directed RNA polymerase) inhibitor,7
CHEBI:22676,auxin,7
CHEBI:24319,EC 6.3.1.2 (glutamate--ammonia ligase) inhibitor,7
CHEBI:33292,fuel,7
CHEBI:35210,spin label,7
CHEBI:35477,antimanic drug,7
CHEBI:35487,EC 1.2.1.3 [aldehyde dehydrogenase (NAD(+))] inhibitor,7
CHEBI:35845,gout suppressant,7
CHEBI:38807,calcium channel agonist,7
CHEBI:38869,general anaesthetic,7
CHEBI:39143,Lewis acid,7
CHEBI:39277,fumigant insecticide,7
CHEBI:48354,polar solvent,7
CHEBI:50141,bronchoconstrictor agent,7
CHEBI:50781,EC 1.3.1.22 [3-oxo-5alpha-steroid 4-dehydrogenase (NADP(+))] inhibitor,7
CHEBI:50837,estrogen antagonist,7
CHEBI:50855,antiatherogenic agent,7
CHEBI:59010,antiseborrheic,7
CHEBI:59285,EC 1.14.13.132 (squalene monooxygenase) inhibitor,7
CHEBI:59941,amphiphile,7
CHEBI:63332,EC 3.1.3.1 (alkaline phosphatase) inhibitor,7
CHEBI:63958,cellulose synthesis inhibitor,7
CHEBI:64047,food additive,7
CHEBI:64697,acyl-CoA:cholesterol acyltransferase 2 inhibitor,7
CHEBI:65265,antacid,7
CHEBI:66993,tocolytic agent,7
CHEBI:70998,G-protein-coupled receptor agonist,7
CHEBI:71196,glucagon-like peptide-1 receptor agonist,7
CHEBI:73182,plant activator,7
CHEBI:73193,gibberellin biosynthesis inhibitor,7
CHEBI:75252,insulin-like growth factor receptor 1 antagonist,7
CHEBI:76720,antisense oligonucleotide,7
CHEBI:77035,expectorant,7
CHEBI:78017,food propellant,7
CHEBI:87183,STAT3 inhibitor,7
CHEBI:90172,c-Jun N-terminal kinase inhibitor,7
CHEBI:90415,insulin secretagogue,7
CHEBI:139503,vitamin D receptor agonist,6
CHEBI:141153,quinone outside inhibitor,6
CHEBI:156211,MAIT cell agonist,6
CHEBI:20854,ATP synthase inhibitor,6
CHEBI:228138,antinociceptive agent,6
CHEBI:23924,enzyme inhibitor,6
CHEBI:25728,osmolyte,6
CHEBI:35232,radiopharmaceutical,6
CHEBI:35841,uricosuric drug,6
CHEBI:36413,anabolic agent,6
CHEBI:38706,pediculicide,6
CHEBI:38808,calcium channel modulator,6
CHEBI:48425,topical anaesthetic,6
CHEBI:48675,antifibrinolytic drug,6
CHEBI:49023,prostaglandin antagonist,6
CHEBI:49323,contraceptive drug,6
CHEBI:50103,excitatory amino acid agonist,6
CHEBI:50382,EC 2.4.1.80 (ceramide glucosyltransferase) inhibitor,6
CHEBI:50406,probe,6
CHEBI:50445,EC 3.5.4.4 (adenosine deaminase) inhibitor,6
CHEBI:50913,fixative,6
CHEBI:51451,endothelin receptor antagonist,6
CHEBI:53746,EC 1.1.1.205 (IMP dehydrogenase) inhibitor,6
CHEBI:55347,vitamin K antagonist,6
CHEBI:62872,EC 1.2.3.1 (aldehyde oxidase) inhibitor,6
CHEBI:63674,EC 2.6.1.19 (4-aminobutyrate--2-oxoglutarate transaminase) inhibitor,6
CHEBI:63963,metabotropic glutamate receptor antagonist,6
CHEBI:64571,NMDA receptor agonist,6
CHEBI:64949,anti-HIV-2 agent,6
CHEBI:67199,AP-1 antagonist,6
CHEBI:68844,phosphodiesterase IV inhibitor,6
CHEBI:73214,EC 3.6.3.14 (H(+)-transporting two-sector ATPase) inhibitor,6
CHEBI:73333,scabicide,6
CHEBI:73335,ultraviolet filter,6
CHEBI:74152,mordant,6
CHEBI:75324,excipient,6
CHEBI:77103,EC 1.3.5.2 [dihydroorotate dehydrogenase (quinone)] inhibitor,6
CHEBI:77255,EC 3.4.24.83 (anthrax lethal factor endopeptidase) inhibitor,6
CHEBI:77402,EC 1.8.1.12 (trypanothione-disulfide reductase) inhibitor,6
CHEBI:77748,EC 3.6.3.44 (xenobiotic-transporting ATPase) inhibitor,6
